intro,score,title
"Pharmaceutical stocks were under fire on Tuesday, with the BSE Healthcare index down 3.01%
",0,Shares of pharma companies catch a cold
Economist Dave Donaldsons paper on Indian Railways shows ramping up investment in railways and roads is one of the best ways to promote development in the hinterland,1,What Suresh Prabhu can learn from Dave Donaldsons paper on Indian Railways
India Post Payments Bank is the third entity to receive payments bank permit after Bharti Airtel and Paytm.,0,India Post gets payments bank licence to start services
"Madhabi Puri Buch has been appointed as new whole time member of Sebi for a period of three years, says the department of personnel and training",0,Madhabi Puri Buch appointed as Sebi whole time member
The talks with Idea controlling holder Aditya Birla Group could lead to Vodafone Group splitting off its Indian business into a separate entity,0,"Vodafone confirms Idea merger talks, could create Indias biggest telecom firm"
Monetary Policy Committee begins its 2-day meeting amid experts saying that RBI is likely to hold rate while unveiling the first bi-monthly review of 2017-18 in view of hardening inflation,0,"Monetary Policy Committee meet begins, RBI likely to hold policy rate"
Edelweiss chairman and CEO Rashesh Shah on the partnership with Canadian pension fund CDPQ and their game plan for the stressed assets sector,0,"Edelweiss wants to invest Rs14,000 crore in stressed assets business: Rashesh Shah"
RBI has released a discussion paper on a proposal to set up differentiated banks in the form of wholesale and long-term finance banks to fund large projects,0,"RBI paper seeks views on wholesale, long-term finance banks"
Shaktikanta Das says RBI will soon take a call on lifting the weekly cash withdrawal limit from savings bank accounts,0,Remonetisation exercise nearly complete: Shaktikanta Das
"Tata Steel shares have done well in the past year is because of prospects of cutting losses in Europe through M&A deals, such as the one with Thyssenkrupp",1,There may be more to Tata Steels bumper profit than meets the eye
"Hindalcos copper business continues to hold fort for the company amid falling aluminium price realizations and regional metal premiums
",0,Hindalco: flying on one engine
"Why would Unilever help Kraft Heinz save face? One possibility: CEO Paul Polman has a sale of its food assets in mind, and needs to keep potential buyers sweet",1,Unilevers boldest defence? A Colgate or Nestle deal
"CES debuted gadget  like smart glasses, smartwatches won awards, but havent sold well",0,7 gadgets that rode CES hype machine to disappointment
"An exporter will have to choose if he prefers his container to stay on the road with the attendant costs or take the container inside the terminal, again with attendant costs
",0,Gate-in service rolled out by Gateway Terminals a trade-off for exporters
"If Dabur can deliver better sales growth and maintain margins, it may be able to meet the high expectations that investors have set
",1,Q4 results: Dabur India hopes to sail in Patanjalis wake
"Siemens will pay $37.25 a share in cash for Wilsonville, Oregon-based Mentor",0,Siemens to buy US software maker Mentor for $4.5 billion
The agency filed the chargesheet against the Axis Bank staff  before a special Prevention of Money Laundering Act court ,0,Note ban: ED files 1st money laundering chargesheet against Axis Bank staff
"Union Bank of India jumped 5.64%, Bank of Baroda rose 4.88%, State Bank of India went up 3.96% and Punjab National Bank gained 3.24% on the BSE",1,"Budget 2017: State-run banks gain 4% on Rs10,000 crore infusion announcement"
Delhi HC cites a production sharing contract between Cairn India and ONGC to bar the Vedanta group firm from exporting surplus crude to any third party,0,Cairn India cannot export surplus crude from Barmer oilfields: Delhi HC
"The project will be located in Anantapur district of Andhra Pradesh, and is scheduled for completion by March 2017",0,Suzlon bags 226.8 MW wind power project in Andhra Pradesh
"Honda has started assembling CKD units of Honda Africa Twin in India and slotted launch of three other models in FY18, but put on hold its Royal Enfield challenger",0,"Honda to launch Honda Africa Twin next month, three other models this year"
"Aided by a better monsoon forecast, Kaveri Seed Co. expects 2016-17 to be a better year
",1,"Kaveri ends the year well, pins hopes on monsoon"
IndoStar Capital says R. Sridhar will  taking over from Vimal Bhandari who has led the firm since 2011,1,"R. Sridhar to join IndoStar Capital as CEO, executive vice-chairman"
Vijay Mallya was arrested in London by Scotland Yard on Indias request for his extradition on fraud charges relating to Kingfisher Airlines loans but was soon released on bail,0,"Vijay Mallya arrested in London, released on bail within hours"
"Rahil Ansari succeeds Joe King, who has gone back to Germany after a three-year stint",0,Audi India appoints Rahil Ansari as India head
"Peppa Pigs bid is a pretty informative situation for William Hill, the object of interest from rivals 888 and Rank ",1,Peppa Pig has a useful lesson for Megabet architects
"There is a huge opportunity for B2B start-ups to grow, says Nipun Mehrotra, vice-president, growth initiatives, IBM India & south Asia",1,Indian start-ups need to focus more on B2B space: Nipun Mehrotra
"Helming Dentsu Aegis Network through a spree of acquisitions, its South Asia head has an ambitious goal to meet",0,Ashish Bhasin: Eyes wide open
How does a nation-state build loyalty among its citizens? What can human resources professionals in various organizations learn from this?,1,Why national flags dont change
ITC  plans to split the post of executive chairman and CEO after Y.C. Deveshwar steps aside on 5 February,0,"Sanjiv Puri to be named ITC CEO, chairmans post may be split"
Embassy Industrial had purchased 24 acres of land in Gurugram to build an industrial and warehousing hub,0,Embassy Industrial to build warehousing hub in Gurugram for Rs140 crore
"The private trusts, regulated by the EPFO, maintain Provident Fund accounts and retirement savings and are required to invest these funds as per the investment pattern approved by the government",1,Conduct special audit of PF trusts: parliamentary panel to labour ministry
"Raw material costs continued to be in their favour, as both food and non-food commodity prices remained low",1,Consumer goods: slow growth remains a bugbear
"The roll-out of Reliance Jios 4G services has a cascading effect on equipment providers and handset makers, among others",1,"Reliance Jios entry a boost for Ericsson, Truecaller and Lava Mobiles"
"Shares of ONGC still havent recovered from the blow they received after the budget speech
",0,No immediate relief in sight for ONGC
Oil ministry looks to recover revenue share dues from hydrocarbon production at the fields in the Arabian Sea after an arbitration panel ruled mostly in favour of the govt,0,PMT fields: Govt to serve demand notice to RIL-ONGC-Shell consortium
"For Nusli Wadia, it was a small victory as 60.6% of retail investors and 49.94% of institutional investors voted in his favour and against the resolution seeking his removal",0,Nusli Wadia voted out of Tata Motors board but with a small victory
"With rising commodity prices and lingering effects of demonetisation, earnings prospects for most companies for the March quarter are anything but rosy",0,Will corporate earnings disappoint once again?
". Three state-run energy firms IOC, Bharat Petroleum and Hindustan Petroleum  plan to spend $20 billion on refinery expansions to add units by 2022 ",0,Indias $20 billion refinery expansion to cut fuel oil output
"Net sales fell by 8.5% to Rs981.62 crore from Rs1,073.40 crore, hit by a cash crunch in the economy due to demonetisation",1,Colgate-Palmolive Q3 net profit declines 22.58% to Rs128 crore
"JSW Energy has no plans to enter the renewable energy sector in the foreseeable future, says joint managing director and CEO Sanjay Sagar
",0,Current tariffs in solar are not viable: Sanjay Sagar
"The proposed Rampal power plant, a 1,320 megawatt super-thermal power plant , is located just 65 kilometres from the Sundarbans",0,Protesters appeal to Narendra Modi to scrap Bangladesh power plant deal
Dena Banks gross non-performing assets (NPAs) rose 12.33% to Rs10824.50 crore at the end of the Sept quarter against Rs9636.32 crore in the June quarter,0,Dena Bank posts Q2 net loss Rs 44.32 crore
"These are mobile wallets which offer you a way of paying for mobile phone recharges, utility bills, shopping bills, cab and hotel bookings and also make train and flight bookings",0,Use these digital wallets to go cashless
"Crisil Ratings estimates the four major airports to invest a cumulative Rs27,000 crore over the next four years till 2021",1,Heavy capital expenditure by major airports unlikely to impact credit quality: Crisil
"Opec is due to meet in Vienna to implement the first supply cuts in eight years and get other producers from outside of the group to join in the action, including Russia",0,Goldman sees oil in low $40s if Opec deal comes to a cropper 
"The Sun Pharmaceutical Industries stock fell 6.13% on BSE, a day after the announcement of the companys results. Heres what led to the plunge
",0,Sun Pharma: Adjusting to the new reality
Alphabet s equity division CapitalG quietly makes an undisclosed investment in Snapchat,0,Snapchat ensures founder control post-IPO and Google invests
"Analysts were already expecting companies such as TCS and Wipro to grow in single digits, but things have worsened since the June quarter",0,Information technology: slowdown worse than expected
Idea Cellular  posts its first quarterly loss due to increased rivalry in the telecom sector after Reliance Jios entry,0,Idea Cellular posts Q3 loss of Rs384 crore as Reliance Jio disrupts sector
"Brent crude futures, the benchmark for international oil prices, trade at $57.34 per barrel at 4.03pm, up 45 cents from the previous close",0,"Oil prices edge up on Opec hopes, doubts linger"
"Madison World, WPPs  GroupM, IPG Mediabrands, French Publicis Groupes media arm Publicis Media and Japanese agency Dentsu Indias media firm Carat said to be in race",0,ITC reviews bids from advertising agencies for Rs600 crore media mandate 
"One bright spot could be the governments spending on infrastructure activities, which may support cement demand to a certain extent",0,"Cement: Volumes subdued, cash crunch may add to pain"
"Booking profits may be a good way to salvage earnings at a time when provisioning towards bad loans is eating away profits, and even resulting in losses",1,Bond market parachute for sinking bank profits?
Facebooks trending list will now consist of topics being covered by several publishers,0,Facebook takes aim at fake news with new trending formula
Bajaj Finances net profit rose to Rs555.65 crore for the third quarter against Rs408.46 crore in the corresponding period of previous year,1,Bajaj Finance Q3 profit rises 36% 
The Joulon deal has provided an exit to Renuka Ramnaths Multiples PE from drilling equipment firm Sara Sae,0,KKRs Joulon buys majority stake in Sara Sae
"The remaining two quarters may feel the brunt of the demonetisation decision, as consumers and the distribution channels adjust to the liquidity crunch",0,FMCG: Tough times to continue in wake of demonetisation
ArcelorMittal decided not to reinstate its dividend and stopped providing earnings guidance,1,"ArcelorMittal profit jumps 20% as steel, iron prices rally"
Samsung Life HQ building had been evacuated earlier in the day following a report that explosives were inside,0,South Korea police says no explosives found at Samsung Life HQ
Coca-Cola says Muhtar Kent be replaced by chief operating officer James Quincey,0,Coca-Cola says CEO Muhtar Kent to step down in May
"Investors will require more than one good quarter from GAIL to alter their view on the stock
",1,GAIL stock: good results priced in
"In other news, GDP growth in FY18 is expected to be between 6.75% and 7.5%, still lower than FY16s 7.6%",0,News in Numbers | Apple sold 78.3 million iPhones in the December quarter
The latest version of the Libratus artificial intelligence program achieved a major milestone by besting four of the worlds best poker pros in January,1,"Poker-playing engineers take on AI machine, get thrashed"
"Weak power sector demand continues to haunt sales growth at Coal India and last month seems to be no exception
",0,Coal India output growth slips in February
"Indians withdrew about Rs60,000 crore ($9 billion) more than the Rs9.1 trillion of currency in circulation as of 13 January ",0,Mystery $9 billion in cash with Indians after Modis demonetisation move
"Steps will be taken to reduce disputes in the energy sector, says director general of hydrocarbons Atanu Chakraborty ",0,The entire gas market is open to producers: Atanu Chakraborty
"Barclays could face penalties from regulators, if it is found to have violated whistleblower laws",0,"Barclays CEO Jes Staley faces probe, bonus cut over whistleblower "
Brent crude was up 20 cents a barrel at $55.14 by 3.20pm. US light crude oil was up 25 cents at $52.21,0,Oil prices steady after recent falls on weaker dollar
"NPCI CEO A P Hota said the objective is to support banks in the activation of existing RuPay cards, issuance of new cards and to widen the acceptance points",0,NCPI: No switching fee for RuPay PoS transactions till 31 December
Qualcomm was alleged to have abused its dominant position in the market for cell phone processors ,0,Mobile chipmaker Qualcomm hit with US antitrust suit 
"While the legendary SBI monogram has been the de-facto symbol of SBI, combining it with the abbreviated SBI word mark is pivotal to the new identity",0,SBI unveils new branding after merger of 6 entities
A timely commissioning of projects under construction and proof that NTPC is extracting the intended benefits from the Chhabra plant will add to investor confidence,1,What will make the Rajasthan acquisition tick for NTPC?
"Unless prices fall sharply, NMDC may still be able to justify in holding on to prices at current levels",0,Slipping global iron ore prices worry NMDC investors
"Godrej Properties also promotes executive director Mohit Malhotra as new managing director and CEO, elevates current chief Pirojsha Godrej as executive chairman",1,Godrej Properties Q3 net profit up nearly fourfold at Rs77.25 crore
Chairman Ajay Piramal says the acquisition  is a prelude to Piramal Enterprisess plans to spin off and list its financial services unit and pharma business,0,"Piramal Enterprises buys drug portfolio from UK firm for Rs1,160 crore"
"While there is a logical basis to privatize state-run cargo berths to facilitate the move to a landlord concept of port ownership, it is anybodys guess how this will pan out
",0,Move to landlord port model means privatizing state-run cargo berths
"US visa reforms may force Indian IT companies, which depend on H1B visas for recruitments, to make fundamental changes to business strategies",0,What H1B visa reforms mean for Indian IT companies
"While the initiatives to build a digital India are undoubtedly important, we cannot ignore the fact that India has a long way to go becoming digital",0,Budget 2017: Five reasons why Digital India wont happen in a hurry
"39 of the 41 listed banks have reported earnings for the December quarter, posting a 59% rise in bad loans or NPAs to Rs6.81 trillion from a year earlier",0,Pace of decline in banks asset quality slows in December quarter
Microsoft CEO Satya Nadellas India visit takes on an added significance amid the global debate on US clampdown on visas ,0,Microsofts Satya Nadella to visit India later this month
"The Morgan Stanley markdown is the strongest manifestation yet of the correction that is currently underway
",0,Changing gears at Indias start-ups
"The risk is no longer of a split in the Tata empire; now, just by being patient and uncompromising, Cyrus Mistry could in theory get all of it",0,Cyrus Mistry shifts Tata battleground to all-or-nothing zone
A good monsoon and pent-up demand fuelled farm equipment sales that nearly doubled from a year ago.,0,Tractors rev up as auto segment wobbles at Mahindra and Mahindra
"The investment, which comes as the Paris climate accord enters into force, aims to deploy low-carbon technologies on a large scale",0,Big oil firms to invest $1 billion in carbon-capture technology
"Speaking at EmTech India 2017, Jaspreet Bindra of Mahindra Group says groups current focus is directed towards expanding businesses into rural areas ",1,Digital transformation is about creating business models: Jaspreet Bindra
"Airtel CEO Gopal Vittal in an interview says the telecom firm will continue to bank upon its spectrum assets, brand, network expansion, capex",0,"Airtel planning rural expansion, in wake of Jio entry: CEO Gopal Vittal"
"In spite of an order book of Rs1.1 trillion, analysts see challenges to Bhels revenue and profit traction
",0,Why a large order book means little for Bhel
"Citing a provision in delisting regulations, Sebi said shares proposed to be delisted should have had the listed status on any recognised stock exchange for three years prior to the application for delisting",1,Sebi offers clarity on voluntary delisting norms
The sale of Essar Oil to Russias Rosneft is the largest debt reduction exercise by an Indian business,0,"Rosneft-Essar Oil deal cuts Essar Groups debt, lifts banks"
"The popular segmentwhich the masses consumesaw sales decline by 7%, while the prestige segmentwhich the well-heeled consumeactually grew by 11%",1,United Spirits says cheers to note ban
"Naukri, Info Edge (India) CEO Hitesh Oberoi on Indias changing jobs scenario, investments in Zomato and how Info Edge is growing into an investor role",0,We are worried about a slowdown in IT: Naukri CEO Hitesh Oberoi
"Yoky Matsuoka will be responsible for identifying important enabling technologies for Alphabet , such as sensors and machine learning, while partnering with outside firms ",0,Alphabet gets robotics pioneer Yoky Matsuoka back after her stint with Apple
"Every entrepreneur must understand the importance of innovation and build an ecosystem around it, says Gourav Jaswal, founder and director, Prototyze",1,How to foster a culture of innovation
"Essar Ports aims to develop a commercial multi-purpose port preferably in Devbhoomi Dwarka district, if Gujarat Maritime Board grants permission ",0,"Essar Ports plans Rs10,600 crore greenfield port in Gujarat"
"In a communication to CEOs and MDs of the state-owned banks, the finance ministry advised them to initiate the steps for smooth conclusion of next wage revision",0,Govt asks public sector banks to finalise next wage revision before 1 November
IndusInd Bank's net profit for the fourth quarter stood at Rs751.61 crore as compared with Rs620.35 crore a year ago,1,IndusInd Bank Q4 profit rises 21% to Rs751.61 crore
"Large borrowers, and significantly the top 100 largest debtors, are primarily responsible for the bad loan problem in Indian banks, says RBIs June financial stability report
",0,Saving Indian banking from the capitalists
"Seven of the worlds largest energy companies will together boost oil and natural gas output by 398,000 barrels a day, the most since 2010",1,Big oil hits sweet spot as new projects reap rewards of recovery
Firstsource Solutions revenue rises 12.3% year-on-year to Rs884.4 crore during the September quarter ,1,Firstsource Solutions profit jumps 21.5% to Rs71.3 crore
TCS is projected to grow at 6% for the full-year with 0.3% growth on sequential basis in the third quarter,0,TCS Q3 results today: Five things to watch for
"Vijay Mallya insists that he intends to return to India, but is constrained since authorities have revoked his passport ",1,"Vijay Mallya free to return to India, ED tells Delhi court"
"Ford  will hire 3,000 people to fully staff the 12,000 employee facility in Chennai which will be operational by early 2019",0,"Ford to invest $195 million in new technology, business center in India"
Lupins net profit rose to Rs662.19 crore for the quarter ended 30 September,1,Lupins Q2 profit soars 58% driven by strong sales in US
The acquisition of Peerless Mutual Fund is part of Essel Finances strategy to become a financial services conglomerate,0,Essel Finance to buy Peerless Mutual Fund
Imagination Techs shares crashed more than 70% after Apple said it would stop using its graphics technology ,0,Imagination Tech shares plunge as Apple abandons the firm
A text-book case on how not to deal with sexual harassment at the workplace would be the manner in which The Viral Fever dealt with an anonymous social media complaint,0,An unequal balance
"Petrol pumps will be selling fuel for limited hours from Saturday and will not operate on Sundays or any other government holidays, says  CIPD",0,Petrol pumps may observe nationwide strike on 15 November
US technology industry calls President Donald Trumps order on immigration immoral and un-American,0,US tech leaders sound alarm over Trump immigration order
"Havells  total income from operations stood at Rs1,622.07 crore for the third quarter as against Rs1,431.59 crore during the same period of previous fiscal",1,Havells India Q3 net profit up 27% at Rs153 crore
"Anil Ambani thanks Reliance Capitals shareholders at the companys AGM for their vote of confidence in Anmol Ambanis appointment as an executive director
",1,Anil Ambani says son Anmol has brought Reliance Capital tremendous luck
"Teslas deal would be a win for Panasonic, which has shifted away from consumer electronics products to focus on housing, car information systems and car batteries",1,Teslas Elon Musk deepens Panasonic ties with solar parts deal
Vodafone pre-paid users will be given a credit of Rs10 in talktime and data of 30 MB across network with a 24-hour validity,0,"Vodafone to give talktime, data on credit after note ban"
"Feeling the heat from Baba Ramdevs Patanjali Ayurved, Dabur returns to its roots: Ayurveda ",0,Dabur goes back to basics to take on Patanjali
"Grab is fighting it out in a Southeast Asian ride-hailing market with some 620 million people, forecast to grow more than five times to $13 billion by 2025",0,Grab CEO braces for a fight of Biblical proportions with Uber
A slowdown in the replacement market sales is worrisome as this segment brings in about two-thirds of the operating profit for battery makers,0,"Odds stack up against battery makers Exide Industries, Amara Raja Batteries "
"Days after quitting as the Tata Groups HR head, N.S. Rajan also resigns as non-executive director of Indian Hotels with effect from 28 October",0,N.S. Rajan resigns as non-executive director of Indian Hotels
"If we get our act right, technology can help us take India back 1,000 yearswhen we were the most advanced and thriving economy in the world",1,Accelarating technology: Indias opportunity to leapfrog
"Broad-based earnings recovery is still at least two quarters away, say analysts",0,"Earnings pick up in September quarter, but no turnaround yet"
"The names before RBI include C.V.R. Rajendran, chief executive of Amfi and former CMD of Andhra Bank, and M.S. Raghavan, former CMD of IDBI bank",0,Catholic Syrian Bank sends list of CEO-MD probables to RBI
"Total income from operations rose 25.52% to Rs2,366.53 crore in third quarter from Rs1,885.33 crore a year ago",1,Dewan Housing Finance Q3 profit rises 31.67% to Rs244.77 crore
"Second quarter sales at the Indian arm of German auto parts supplier Bosch Group rise 7.7% to Rs2,738 crore",1,Bosch profit rises 10.8% to Rs423 crore
"While the revival in Tech Mahindras telecom vertical is heartening, investors seem to be waiting to see if the improvement will sustain",0,Investors stay unconvinced about Tech Mahindras recovery
"Barring 2013, the usage of debit and credit cards at points of sale relative to ATMs was higher during the Diwali month than in any other time of the year",0,Consumers are increasingly choosing  cards over cash for Diwali shopping
"Indiabulls Commercial Assets will focus on the annuity business through rental income of existing office projects, under-development and new projects",0,Indiabulls to carve out commercial office business into separate firm
"Meru Cab CEO Siddhartha Pahwa believes micro-entrepreneurship developing at the grassroots level, and not large corporates, can help India grow",0,"At Meru Cab, the driver decides how much he wants to work: CEO Siddhartha Pahwa"
"There is significant wind beneath Ashoka Buildcons wings, provided its robust order book is converted into revenue through timely execution",1,Ashoka Buildcons diversified order mix supports profit margins
"This is  the third major funding round for Cohesity, bringing the total investments in the company to more than $160 million",1,Storage startup Cohesity Inc. said to attract valuation of over $500 million
The home ministry has expressed concern that Wi-Fi  on flights may pose a security threat because of difficulty tracking voice and data usage from the air,0,No WhatsApp on flights yet as India govt weighs Wi-Fi risks
"SBI Life Insurance may go for a public issue in financial year 2017-18, says CEO Arijit Basu",0,SBI Life Insurance may offer 10% stake in IPO
"Impacted by demonetisation, property sales in the December quarter plummeted 44%, said Knight Frank",0,"Real estate sector revenue loss at Rs22,000 crore in Q3: Knight Frank"
"The IEA in its monthly oil market report said the compliance rate with the agreement among OPEC members and some non-members, including Russia, has been impressive",1,World oil market close to balance despite OPEC cuts: IEA
"CRISIL Foundations analysis shows overall spending increased by 22%, with the bulk of the funds going to education, skill development, healthcare and sanitation initiatives",0,Indian companies CSR spending up in 2015-16: Report
"With larger and more accessible markets, improving capital efficiency, more sectors of the economy becoming addressable and companies increasingly going global, each year of tech investing in India looks incrementally better",1,Democratization of technology is e-commerces gain
Solar power tariff discovered through auctions hit a new low of Rs3.15 per unit with NTPCs 250MW project at Kadapa in Andhra Pradesh ,0,Solar power tariff falls to record low of Rs3.15 a unit
"In an interview, PVR CEO Ajay Bijli talks about the multiplex chains evolution and why movie theatres in India should survive the advent of digital platforms",0,PVRs Ajay Bijli: Nowhere do movie tickets get as heavily taxed as in India
"Economic Survey 2017 says various global and domestic factors, including Brexit and US elections, had a sizable impact on Indian markets in 2016-17",0,RBI governors appointment impacted Indian market: Economic Survey
"From here on, the outlook really depends on whether the airline can put up such a stellar show on a consistent basis
",0,SpiceJet soars in June quarter
"The master mariner, who founded a start-up after two decades at one of Asias biggest commodity trading firms, on Chinese hotels, Sunday dinners and god",0,Harry Banga: The commodities captain
"Berkshire Hathaways operating earnings, which exclude some investment results, were $2,665 a share",1,Berkshire Hathaway profit advances 15% to $6.29 billion on investments
"Adani Power and Tata Power will have to take measures to mitigate their losses to overcome weakening of their finances, following Supreme Courts order on power tariff",1,"Supreme Court tariff order reduces options for Adani, Tata Power"
The cement sector was supposed to be among the worst hit by demonetisation. UltraTechs results for the December quarter show a different picture,0,UltraTech Cement Q3 results: Decent earnings in a challenging quarter
The recent appreciation in rupee may worsen matters for Indian IT firms as profit margins are already under pressure owing to increased investments in building digital capabilities ,0,"IT sector: Donald Trump, rupee worsen matters in December quarter"
Infosys founder Narayana Murthy says the younger generation needs to be daring in taking the entrepreneurial route for transformation of the Indian economy,0,Narayana Murthy says need to reduce friction in businesses in India
"Hindustan Petroleum, as part of its expansion plan in the LNG segment, is also testing waters to enter the spot market this year",0,HPCL in talks with six foreign suppliers for gas at LNG terminal
ONGC and the biggest private producer Cairn India  want Arun Jaitley to at least halve the cess on crude oil production in the Union Budget due 1 February,0,Domestic oil explorers seek tax sops in Budget 2017
"While balance sheets do not seem to warrant current valuations, analysts say if a concrete plan for bad loan resolution emerges, corporate lenders could be re-rated",0,A bleaker FY17 for banks
"Aggregate data for top metal producing firms show sales rose 7% sequentially, while operating profit rose 43% despite a 14.6% increase in raw material costs",0,Metals: Buoyed by rising prices
Fox News host Bill OReillys holiday until 24 April follows a wave of companies pulling ads from his prime-time show over sexual harassment allegations,0,Fox News host Bill OReilly taking vacation amid sex harassment furore
"While Diageo is paying money to Vijay Mallya and has made other concessions, USL has decided to not proceed on the financial irregularities uncovered in an internal inquiry
",1,United Spirits: Diageo unchained
"What does the advent of a billionaire businessman into White House mean for good governance, particularly when the entrant is from an industry (property construction) known to be rife with corruption",0,Donald Trumps biggest problem: conflict of interest
"Fed is about to go rapid-fire on interest rates, boosting them in the second half of this year and following that with a rise in every single quarter of 2018, says BNP",1,BNP says Fed to hike rates every quarter in 2018 
"IndusInd Banks results for the September quarter showed enough improvement to cheer investors, starting with a net profit growth of 26% to Rs704.25 crore",1,IndusInd Banks bull run continues
"The alleged fraud by share transfer agent Sharepro Services is a wake-up call for both companies that use such agents and for their regulator
",0,Lessons from Sharepro: Can another share transfer fraud be averted?
"Indian IT companies need to learn how become multi- cultural and recruit local talent and work with it , says  Narayana Murthy",0,Indian IT companies need to stop using H1-B visas: Narayana Murthy 
"That IndiGo has been consistent with its dividend may please investors, as it lays to rest suspicions about the company not being as generous post listing
",1,Dividend cheer for investors from IndiGo
"Ravi Venkatesan, who was appointed as Infosys co-chairman Thursday, says the idea of Infosys is a powerful one and its important that it continues to flourish",1,"Ravi Venkatesan: In turbulent weather, it only helps to get a co-pilot"
"While both Vodafone and Idea have a pan-India presence as far as voice services go, their mobile broadband footprint is either weak or absent in some markets",0,Behind Vodafone and Ideas low-key investments in some key markets
"In the ecosystem of lavishly funded start-ups, the sting of failure seems to have lost some of its stigma
",0,The anatomy of failure
"Announcing the latest quarterly results, Jet Airways says it raked in Rs85 crore profit despite a traditionally lean quarter and domestic yields being under pressure",1,Jet Airways Q2 profit at Rs85 crore amid pricing pressure
"Trafigura is expected to increase its share of crude supplied to Essars Vadinar complex, which is designed to run on heavy Iranian or Venezuelan crude",0,"Essar deal deepens Trafiguras Rosneft, India ties "
"Akzo Nobel Indias operating margin, which had taken a beating for two years following the amalgamation of three subsidiaries with itself in FY12, has improved from then, but still lags peers",0,"Akzo Nobel India stock hits all-time high, but valuations yet to catch-up"
"While Sebis profit-sharing agreement norms apply only to listed companies to check for violations of corporate governance norms, it could have implications for IPOs as well",1,Profit-sharing agreement norms may be a hurdle for PE-backed firms IPO plans
"As iPhone sales growth slows, Apple is teaming up with a handful of builders to inch its way into the market for Internet-connected home furnishings",0,Apple wants to get inside your home before you even buy it
"A report from Standard & Poors says  weak state-run banks like IOBank, IDBI Bank, BoI and UBI are in for RBI action if the tightened PCA is implemented properly",0,"IOB, IDBI, BoI, UBI may be 1st in line of RBI fire under new PCA"
New Delhi is now making bad judgment worse by threatening to block the Docomo arbitration award,0,Tata vs Docomo debacle will have wider consequences for India
"The impact of the US Fed raising rates on emerging markets such as India has reduced considerably, says Barry Eichengreen",0,Trump poses biggest risk to emerging market capital flows: Barry Eichengreen
"A strengthening rupee against the dollar has emerged as a fresh headache for IT and pharma firms battling H1B visa, outsourcing and regulatory issues in the US",1,"Strengthening rupee adds to IT, pharma companies woes"
"Hero MotoCorps margin beat for the June quarter is impressive, especially given the trend of rising input costs
",1,Hero MotoCorp: margins beat the Street in Q1
HT Medias second-quarter revenue rose 5.2% year on year  to Rs680.2 crore,1,HT Media posts Rs51.2 cr net profit in Sep quarter
"Here are five reasons why the case for a sustained increase in iron ore prices does not seem convincing yet:
",0,Why the iron ore rally may not have legs of steel
"Wipro believes measures to generate more business from existing clients, investments in new technologies, M&A strategy will help it match industry growth",1,Wipros Abidali Neemuchwala sees his strategy paying off by March 2018
"Shortage of domestically produced gas leading to better demand prospects for liquefied natural gas, or LNG, is what has fundamentally propelled Petronet LNGs stock",1,Petronet LNGs impressive showing
"Halliburtons sales in North America rose 9%, while revenue in international markets grew 2% compared with the prior quarter",1,Halliburton posts North American profit on shale recovery
"Outdated information security architecture and controls have increased the risk exposure for Indian companies over the last 12 months, said EY survey",0,Cybersecurity budgets rise but firms not confident of resisting threats: survey 
"Analysts expect better petrochemical, refining margins to have aided profit growth ",1,RIL may post higher  March-quarter profit 
"Saudi Arabia cuts Feb oil supplies to refiners in India and Southeast Asia, seeking to comply with an Opec deal; steady exports to Asia may point to supply cuts in Europe, US",0,"Saudi cuts February oil exports to RIL, Petronas, HMEL to meet Opec deal"
"To meet the heavy demand from the public in the wake of the demonetization of old Rs500 and Rs1,000 currency notes, banks will remain open on 12-13 November",0,"NEFT, cheque-clearing operations open on weekend: RBI"
"Formal talks between ONGC Petro additions Ltd (OPaL), and the worlds biggest oil exporter, Saudi Aramco, will start soon",1,India said to woo Aramco for 50% OPaL sale as Kuwait talks stall
NIIT CEO Rahul Patwardhan tendered his resignation due to compelling family reasons and has requested to be relieved from the close of business hours of 31 July,0,NIIT CEO Rahul Patwardhan quits
"India has added 513 MW of rooftop solar capacity over the past 12 months, a growth of 113%, taking total installed capacity to 1,020 MW or 1 GW",0,Indias rooftop solar capacity crosses 1 GW: Bridge To India report
"If the micro-irrigation systems business bounces back, and the overseas business stays strong, Jain Irrigation will be in a sweet spot
",1,Jain Irrigation: investors betting on a good monsoon
This years Yes Bank series is focused on innovation and impact as the key drivers of growth and productivity,1,Equipping young minds to cope with the challenges of the real world 
"Cyrus Mistrys replacement will be named by a search committee, Ratan Tata will take over as Tata Sons interim chairman for 4 months",0,"Cyrus Mistry removed as Tata Sons chairman, Ratan Tata returns"
" Analysts said bank stocks were taking a short-term hit from Prime Minister Narendra Modis shock decision to withdraw Rs500 and Rs1,000 notes",0,"Banks run out of new notes, shares slump"
"Infosys has witnesses strong cash flow generation, but has lagged considerably in terms of shareholder returns. Is TCS now falling into the same trap? 
",0,Is TCSs new problem the same as Infosyss old one?
Anuj Puri joined JLL in 2007 when his company Trammell Crow Meghraj (TCM) merged with the Indian arm of global real estate firm JLL,0,"Anuj Puri quits JLL India; Ramesh Nair takes over as CEO, country head"
"The clean energy surge will, however, be inadequate to meet Indias growing need for energy with the countrys demand growth",1,Renewables to overtake Indias oil output in 2035: BP Energy Outlook 
